Altitude Profile for LCO (Spatial Average)
---------------------------------------------
Pressure (hPa)  | Speed (m/s)  | Direction (deg)
---------------------------------------------
900             | 0.7          | 178.1          
875             | 0.7          | 188.8          
850             | 0.7          | 187.8          
825             | 0.6          | 190.9          
775             | 0.8          | 225.7          
750             | 1.3          | 244.8          
700             | 3.0          | 259.8          
650             | 4.2          | 267.0          
600             | 5.8          | 297.6          
550             | 7.9          | 314.8          
500             | 7.4          | 317.8          
450             | 8.6          | 313.0          
400             | 14.1         | 312.9          
350             | 16.4         | 316.9          
300             | 22.1         | 335.2          
250             | 25.1         | 335.3          
200             | 26.7         | 345.7          
150             | 16.1         | 331.3          
100             | 10.8         | 327.7          
70              | 5.9          | 328.6          
50              | 5.1          | 192.0          
